property_url,mls,mls_id,status,text,style,full_street_line,street,unit,city,state,zip_code,beds,full_baths,half_baths,sqft,year_built,days_on_mls,list_price,list_date,sold_price,last_sold_date,assessed_value,estimated_value,lot_sqft,price_per_sqft,latitude,longitude,neighborhoods,county,fips_code,stories,hoa_fee,parking_garage,agent,agent_email,agent_phones,broker,broker_phone,broker_website,nearby_schools,primary_photo,alt_photos
https://www.realtor.com/realestateandhomes-detail/M9979885718?listing_status=rental,RLHC,a5968950-1d51-11eb-8290-0e34fd0bfc09,FOR_RENT,"Phone Extension:1 - CONTACT OLIVER TYSON, LEASING DIRECTOR, AT 619-715-5459 FOR INFORMATION OR TO SCHEDULE A VIEWING. J&D Management presents 18 brand-new luxury apartments off Mesa College Drive, near San Diego Mesa College, Sharp Memorial Hospital, and Rady Children's Hospital. Units come with stainless steel appliances, modern cabinets, a full kitchen setup, a washer and dryer, custom vinyl flooring, window spaces, mini splits for heat/AC, a private patio, a small storage room, and exterior power outlets. Easy freeway access to the 163, 805, and 52! Call now to schedule a viewing.",APARTMENT,7484 Mesa College Dr Apt 101,7484 Mesa College Dr,Apt 101,San Diego,CA,92111,,,,,,,,2024-06-25,,,,,,,32.801926,-117.159851,"Clairemont Mesa East, North Central San Diego",San Diego,06073,,,,,,,,,,"San Diego County Office Of Education School District, San Diego Unified School District",http://ar.rdcpix.com/f6774d91a2abf6df33270772a1b4c1b5c-f3106789271od-w480_h360_x2.webp?w=1080&q=75,"http://ar.rdcpix.com/f6774d91a2abf6df33270772a1b4c1b5c-f3106789271od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/f6774d91a2abf6df33270772a1b4c1b5c-f3873088954od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/f6774d91a2abf6df33270772a1b4c1b5c-f3045290936od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/f6774d91a2abf6df33270772a1b4c1b5c-f3377076919od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/f6774d91a2abf6df33270772a1b4c1b5c-f3269497556od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/f6774d91a2abf6df33270772a1b4c1b5c-f3483192288od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/f6774d91a2abf6df33270772a1b4c1b5c-f1436241682od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/M2200100129?listing_status=rental,RLHC,2bbf4e70-99f6-11e8-bc05-1866da72aa09,FOR_RENT,Phone Extension:1,APARTMENT,4172 Mississippi St,4172 Mississippi St,,San Diego,CA,92104,,,,,,,,2024-06-25,,,1811875,,,,32.753481,-117.141646,"North Park, Central San Diego",San Diego,06073,,,,,,,,,,San Diego Unified School District,,
https://www.realtor.com/realestateandhomes-detail/M1007771254?listing_status=rental,RTEC,59573841,FOR_RENT,"Move Right In to this gorgeous Home on a Hill in University City. Spacious, single story home with open layout - upgraded throughout. Gorgeous laminate floors upgraded kitchen with top of the line stainless steel appliances. Central heat air conditioning. Located on a quiet cul-de-sac with a big backyard. Tons of fruit trees, covered patio, outdoor kitchen area a beautiful view - perfect for entertaining. Full size washer dryer included. Small pets OK! Available immediately.",SINGLE_FAMILY,4636 Benhurst Ave,4636 Benhurst Ave,,San Diego,CA,92122,4,2,,1531,,,5395,2024-06-25,530000,2011-06-24,652645,1381948,,4,32.85411,-117.192694,"University City, North Central San Diego",San Diego,06073,,,,,,,,,,San Diego Unified School District,http://ap.rdcpix.com/97846a0ca1044fea14dcbc9886cde3bel-m3525113944od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/97846a0ca1044fea14dcbc9886cde3bel-m3525113944od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/97846a0ca1044fea14dcbc9886cde3bel-m495240526od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/97846a0ca1044fea14dcbc9886cde3bel-m5330911od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/97846a0ca1044fea14dcbc9886cde3bel-m3778639207od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/97846a0ca1044fea14dcbc9886cde3bel-m2767303854od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/97846a0ca1044fea14dcbc9886cde3bel-m1169273042od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/97846a0ca1044fea14dcbc9886cde3bel-m593182922od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/97846a0ca1044fea14dcbc9886cde3bel-m633981939od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/97846a0ca1044fea14dcbc9886cde3bel-m3363141429od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/97846a0ca1044fea14dcbc9886cde3bel-m636812369od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/97846a0ca1044fea14dcbc9886cde3bel-m902703495od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/97846a0ca1044fea14dcbc9886cde3bel-m3679971240od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/97846a0ca1044fea14dcbc9886cde3bel-m258911226od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/97846a0ca1044fea14dcbc9886cde3bel-m3684131988od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/97846a0ca1044fea14dcbc9886cde3bel-m1621162968od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/97846a0ca1044fea14dcbc9886cde3bel-m324321744od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/97846a0ca1044fea14dcbc9886cde3bel-m1904449894od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/97846a0ca1044fea14dcbc9886cde3bel-m2705012306od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/M2402626892?listing_status=rental,SDCA,240014531,FOR_RENT,"Beautifully renovated, rare, spacious corner unit. 3 bedroom, 2 bathroom, 1, 215 SQ/FT. Enjoy gorgeous panoramic views of the city skyline. This designer home is a unique blend of urban vibrancy with luxurious finishes including upgraded stainless steel appliances. The ensuite master has a walk-in closet. New carpeting to be installed prior to move-in. Amenities include: Fitness Center, Sauna, Spa, Clubhouse/Business Room, Electric Car Charging Stations and a landscaped Courtyard with BBQ area.",CONDOS,1400 Broadway Unit 1305,1400 Broadway,Unit 1305,San Diego,CA,92101,3,2,,1215,2003,,3550,2024-06-25,555000,2020-03-09,583402,756000,,3,32.716007,-117.151712,"Downtown San Diego, East Village",San Diego,06073,1,,2,Claudette Cooper,Claudette@BuySellRentSanDiego.com,"[{'number': '6198251974', 'type': 'Office', 'ext': '', 'primary': True}]",RE MAX City Real Estate,(619) 825-1974,,"San Diego Unified School District, Urban Discovery Academy Charter District",http://ap.rdcpix.com/c9b5ac384acdaffe407f0c8f5e9966c0l-m3272575612od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/c9b5ac384acdaffe407f0c8f5e9966c0l-m3272575612od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/c9b5ac384acdaffe407f0c8f5e9966c0l-m1653633311od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/c9b5ac384acdaffe407f0c8f5e9966c0l-m3180706167od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/c9b5ac384acdaffe407f0c8f5e9966c0l-m1580057080od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/c9b5ac384acdaffe407f0c8f5e9966c0l-m864366243od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/c9b5ac384acdaffe407f0c8f5e9966c0l-m976606447od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/c9b5ac384acdaffe407f0c8f5e9966c0l-m412534181od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/c9b5ac384acdaffe407f0c8f5e9966c0l-m1037611314od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/c9b5ac384acdaffe407f0c8f5e9966c0l-m1209107027od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/c9b5ac384acdaffe407f0c8f5e9966c0l-m2228065638od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/c9b5ac384acdaffe407f0c8f5e9966c0l-m564628994od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/c9b5ac384acdaffe407f0c8f5e9966c0l-m289617518od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/c9b5ac384acdaffe407f0c8f5e9966c0l-m2508845090od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/c9b5ac384acdaffe407f0c8f5e9966c0l-m2543798826od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/c9b5ac384acdaffe407f0c8f5e9966c0l-m301020667od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/c9b5ac384acdaffe407f0c8f5e9966c0l-m2402029819od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/c9b5ac384acdaffe407f0c8f5e9966c0l-m3159735091od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/c9b5ac384acdaffe407f0c8f5e9966c0l-m1032014027od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/c9b5ac384acdaffe407f0c8f5e9966c0l-m897646647od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/c9b5ac384acdaffe407f0c8f5e9966c0l-m2001229122od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/c9b5ac384acdaffe407f0c8f5e9966c0l-m634417366od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/c9b5ac384acdaffe407f0c8f5e9966c0l-m897646647od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/c9b5ac384acdaffe407f0c8f5e9966c0l-m1164561639od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/c9b5ac384acdaffe407f0c8f5e9966c0l-m1589370689od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/c9b5ac384acdaffe407f0c8f5e9966c0l-m634417366od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/c9b5ac384acdaffe407f0c8f5e9966c0l-m564628994od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/c9b5ac384acdaffe407f0c8f5e9966c0l-m620465034od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/c9b5ac384acdaffe407f0c8f5e9966c0l-m1292127634od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/c9b5ac384acdaffe407f0c8f5e9966c0l-m1037611314od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/c9b5ac384acdaffe407f0c8f5e9966c0l-m2312924273od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/c9b5ac384acdaffe407f0c8f5e9966c0l-m93475717od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/c9b5ac384acdaffe407f0c8f5e9966c0l-m895396127od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/c9b5ac384acdaffe407f0c8f5e9966c0l-m2947041474od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/M9946347976?listing_status=rental,ZUMP,1687046,FOR_RENT,,APARTMENT,3501 Front St,3501 Front St,,San Diego,CA,92103,,,,,,,,2024-06-25,,,,,,,32.741703,-117.16468,"Hillcrest, Uptown, Central San Diego",San Diego,06073,,,,Zumper,,,,,,San Diego Unified School District,http://ar.rdcpix.com/84d0f9ff11509ba691238111af84fcd0c-f2807697582od-w480_h360_x2.webp?w=1080&q=75,"http://ar.rdcpix.com/84d0f9ff11509ba691238111af84fcd0c-f2807697582od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/84d0f9ff11509ba691238111af84fcd0c-f3439487479od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/84d0f9ff11509ba691238111af84fcd0c-f145221722od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/84d0f9ff11509ba691238111af84fcd0c-f1665973662od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/84d0f9ff11509ba691238111af84fcd0c-f639602607od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/84d0f9ff11509ba691238111af84fcd0c-f452536069od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/84d0f9ff11509ba691238111af84fcd0c-f90565006od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/84d0f9ff11509ba691238111af84fcd0c-f3557361640od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/84d0f9ff11509ba691238111af84fcd0c-f1708581695od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/84d0f9ff11509ba691238111af84fcd0c-f2817657326od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/84d0f9ff11509ba691238111af84fcd0c-f4211947750od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/84d0f9ff11509ba691238111af84fcd0c-f3699863880od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/84d0f9ff11509ba691238111af84fcd0c-f1262787542od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/84d0f9ff11509ba691238111af84fcd0c-f4132400467od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/84d0f9ff11509ba691238111af84fcd0c-f1689901821od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/84d0f9ff11509ba691238111af84fcd0c-f798182124od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/84d0f9ff11509ba691238111af84fcd0c-f3153588790od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/84d0f9ff11509ba691238111af84fcd0c-f1560791339od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/M2700863782?listing_status=rental,ZUMP,1625309,FOR_RENT,,APARTMENT,1558 Ebers St,1558 Ebers St,,San Diego,CA,92107,,,,,,,,2024-06-25,2740000,2019-09-27,2880226,4488059,,,32.738125,-117.250917,"The Hill, Ocean Beach, Point Loma Peninsula",San Diego,06073,,,,Randy Rivera,hello@schoolhouserealty.com,"[{'number': '(619) 398-8901', 'type': 'Office', 'ext': None, 'primary': True}]",Capital Real Estate Ventures,(619) 398-8900,,San Diego Unified School District,http://ar.rdcpix.com/1cef09c6435cd79414e4ccb0ccae7316c-f427419954od-w480_h360_x2.webp?w=1080&q=75,"http://ar.rdcpix.com/1cef09c6435cd79414e4ccb0ccae7316c-f427419954od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/1cef09c6435cd79414e4ccb0ccae7316c-f3947457052od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/1cef09c6435cd79414e4ccb0ccae7316c-f4262927943od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/1cef09c6435cd79414e4ccb0ccae7316c-f48092680od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/1cef09c6435cd79414e4ccb0ccae7316c-f2816288949od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/1cef09c6435cd79414e4ccb0ccae7316c-f1547299402od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/1cef09c6435cd79414e4ccb0ccae7316c-f3001229790od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/1cef09c6435cd79414e4ccb0ccae7316c-f4148548648od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/1cef09c6435cd79414e4ccb0ccae7316c-f2225045459od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/1cef09c6435cd79414e4ccb0ccae7316c-f2059076491od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/1cef09c6435cd79414e4ccb0ccae7316c-f3650406792od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/1cef09c6435cd79414e4ccb0ccae7316c-f1279448112od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/1cef09c6435cd79414e4ccb0ccae7316c-f1928900076od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/1cef09c6435cd79414e4ccb0ccae7316c-f1007741738od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/M9462203502?listing_status=rental,RLHC,88717e04-f919-11ee-86d6-023e3c77b63c,FOR_RENT,Phone Extension:1,APARTMENT,2902 30th St,2902 30th St,,San Diego,CA,92104,,,,,,,,2024-06-25,,,,,,,32.735794,-117.129578,"North Park, Central San Diego",San Diego,06073,,,,,,,,,,"San Diego Unified School District, Albert Einstein Academy Charter Middle District",,
https://www.realtor.com/realestateandhomes-detail/M9083162931?listing_status=rental,ZUMU,58183500,FOR_RENT,"J&D Management is proud to present 6 brand new townhomes located off Riley St. and Fresno St, just down the hill from USD Campus. Wake up every morning and enjoy the spectacular views from your private roof-top deck with views of the Ocean and the Riverwalk Golf Course. walk, bike, scooter, or a short drive to class! Short 5 min bike ride, scooter or drive to Fashion Valley Mall, AMC movie theater, restaurants, shopping & more! Easy access to I-8 Freeway and I-5 Freeway from Friars Rd., down the hill.",TOWNHOMES,1134 Fresno St Unit 1148,1134 Fresno St,Unit 1148,San Diego,CA,92110,4,3,,1833,,,7250,2024-06-25,,,,,,4,32.767227,-117.18821,"Morena, North Central San Diego, Bay View",San Diego,06073,,,,Zumper,,,,,,"San Diego County Office Of Education School District, San Diego Unified School District",http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m536010273od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m536010273od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m3074156113od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m2741358722od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m780838284od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m3530117023od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m3829065557od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m2857691421od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m3266507571od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m900368od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m2116279207od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m2749985714od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m878640459od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m4292428559od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m2357470957od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m3094793292od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m3464528500od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m2302686756od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m1229559569od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m2322908877od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m856841488od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m642642098od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m4160413105od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m2146436129od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m1842002424od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m869807940od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m1723122478od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m931017171od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m1494008729od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m3485499941od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m3180169979od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m3787556532od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m1760818801od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m3960032563od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m1726220859od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m823627162od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m4070980484od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m2411780154od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m2913102260od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m2662897762od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m3470279947od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m2707070016od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m3626340986od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m3615206455od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m2694529043od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m3944471655od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m3216834775od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m3574137406od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m1628226856od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m4215777963od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f51b14d944e895340f2dbce2eda83d3bl-m1626507422od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/M1720960565?listing_status=rental,SDCA,240014519,FOR_RENT,"Lovely home with private backyard on corner lot. Newer laminate flooring, baseboards & paint throughout (Spring 2020). New Garage Door (Oct 2021). All stainless steel appliance included: Microwave, Dishwasher, Fridge, Sink & Disposal (white washer & dryer & extra fridge in garage). Ceiling fans in all rooms, Central Heat/AC, Fireplace in Living Room, RV Parking in driveway. Large Dining Room in addition to dining nook and living room, allows for an Extra Large Space to be used as a Family Room or Home Office. Ideal location, this home is tucked away in the established Rolling Hills Neighborhood, but is also close to everything! Walking distance to Rolling Hills Park and Rolling Hills Elementary School. Short distance to shopping, dining in Carmel Mountain Ranch and I-15 & 56 freeway access.",SINGLE_FAMILY,11195 Madrigal St,11195 Madrigal St,,San Diego,CA,92129,3,2,,1400,1976,0,4150,2024-06-24,495000,2005-04-07,663148,1138300,,3,32.990588,-117.087577,"North San Diego, Rancho Penasquitos, Glens",San Diego,06073,1,,2,Shana Gridley,shanare@gmail.com,"[{'number': '(619) 295-8800', 'type': 'Office', 'ext': None, 'primary': True}]","Crescent Bay Properties, Inc.",(619) 255-8452,WWW.CRESRE.COM,Poway Unified School District,http://ap.rdcpix.com/afb1e1826e26db24ea18f498e8a837e0l-m3999154973od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/afb1e1826e26db24ea18f498e8a837e0l-m3999154973od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/afb1e1826e26db24ea18f498e8a837e0l-m2240881988od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/afb1e1826e26db24ea18f498e8a837e0l-m577936798od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/afb1e1826e26db24ea18f498e8a837e0l-m2219167040od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/afb1e1826e26db24ea18f498e8a837e0l-m2855477255od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/afb1e1826e26db24ea18f498e8a837e0l-m2485221633od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/afb1e1826e26db24ea18f498e8a837e0l-m66294130od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/afb1e1826e26db24ea18f498e8a837e0l-m3794342578od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/afb1e1826e26db24ea18f498e8a837e0l-m4292647680od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/afb1e1826e26db24ea18f498e8a837e0l-m3382688478od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/afb1e1826e26db24ea18f498e8a837e0l-m2008226724od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/afb1e1826e26db24ea18f498e8a837e0l-m1492595030od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/afb1e1826e26db24ea18f498e8a837e0l-m1013313398od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/afb1e1826e26db24ea18f498e8a837e0l-m3873127718od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/M9344019785?listing_status=rental,RLHC,f76e0aa8-f642-11ec-b9e5-0e34fd0bfc09,FOR_RENT,Phone Extension:1,APARTMENT,3501 Front St # 1-5,3501 Front St,# 1-5,San Diego,CA,92103,,,,,,,,2024-06-25,,,,,,,32.741703,-117.16468,"Hillcrest, Uptown, Central San Diego",San Diego,06073,,,,,,,,,,San Diego Unified School District,,
